codigo,region,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020
15,Arica y Parinacota,0,0,0,0,2,4,4,5,5,5,5,5,5,5
1,Tarapacá,1,1,1,1,1,2,2,2,2,3,3,2,2,1
2,Antofagasta,3,4,3,3,3,3,2,2,2,3,2,3,4,4
3,Atacama,0,0,0,0,0,0,0,1,1,1,1,1,1,1
4,Coquimbo,1,1,1,2,1,1,2,1,1,2,2,1,0,1
5,Valparaíso,14,17,18,22,27,22,21,20,22,21,22,18,16,16
13,Metropolitana,83,90,107,129,146,161,160,174,164,181,178,185,189,190
6,O’Higgins,5,5,5,5,5,6,6,6,6,7,7,7,7,5
7,Maule,3,3,3,3,4,5,7,8,10,11,13,15,16,15
16,Ñuble,7,8,10,11,10,11,13,13,13,13,13,12,13,12
8,Biobío,14,18,21,24,26,27,32,31,33,32,33,31,35,35
9,Araucanía,26,29,37,44,44,46,46,54,56,57,53,56,52,46
14,Los Ríos,1,2,2,2,3,4,6,6,7,7,7,7,7,7
10,Los Lagos,10,12,18,22,22,23,24,25,24,25,26,26,25,26
11,Aysén,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Magallanes,5,10,11,12,13,12,12,14,14,15,18,18,15,15
